1	878	2475	50300	
2	12357	17325	217934	
3	30743	37188	176121	
4	102486	88063	126557	
5	161075	140583	151793	
6	242571	211166	318010	
7	317180	287092	384911	
8	375833	354516	352367	
9	426025	413070	389899	
10	460359	448141	449020	
11	479741	472661	468113	
12	490643	487640	499025	
13	495331	494210	453158	
14	498098	496743	499773	
15	499343	499139	499928	
16	499722	499683	499228	
17	499918	499923	451250	
18	499967	499964	442994	
19	499985	499993	418961	
20	499998	499999	429350	
21	499999	499999	347690	
22	499999	500000	471412	
23	500000	500000	316231	
24	500000	500000	302941	
25	500000	500000	255176	
26	500000	500000	318726	
27	500000	500000	276831	
