100	179207	181053	
200	181237	182981	
300	184380	186086	
400	180394	182011	
500	188583	190035	
600	188226	189897	
700	183538	185216	
800	175394	177067	
900	179297	180225	
1000	167952	169264	
1100	175313	176702	
1200	173861	175306	
1300	186141	187482	
1400	188084	189026	
1500	188008	189420	
1600	185780	186702	
1700	180824	182365	
1800	188922	190652	
1900	184646	185643	
2000	173597	175106	
2100	182234	183674	
2200	186633	188257	
2300	180961	182770	
2400	182367	183801	
2500	175414	176735	
2600	174591	175944	
2700	192421	194239	
2800	176766	178984	
2900	191767	193982	
3000	184920	186930	
3100	182883	184238	
3200	193004	195235	
3300	188788	190686	
3400	175237	176737	
3500	189574	191430	
3600	189552	191103	
3700	180698	182432	
3800	181183	182665	
3900	186482	188220	
4000	191708	193345	
4100	179170	181162	
4200	189075	190998	
4300	179496	181643	
4400	181928	183893	
4500	183860	185747	
4600	195824	197637	
4700	188134	189804	
4800	203324	206202	
4900	200432	203126	
5000	198713	200873	
5100	193237	195625	
5200	192626	194674	
5300	200122	202923	
5400	204931	207749	
5500	207801	211261	
5600	196808	199208	
5700	206199	208691	
5800	196545	198702	
5900	192815	194535	
6000	202928	205331	
6100	195982	198184	
6200	194559	196273	
6300	184293	186509	
6400	187918	189922	
6500	189423	190835	
6600	186526	188388	
6700	185870	188222	
6800	185450	186766	
6900	179396	180853	
7000	180011	181266	
7100	190562	192115	
7200	183565	185907	
7300	192680	194792	
7400	194301	196525	
7500	208971	211708	
7600	195200	197592	
7700	193203	195421	
7800	172332	174130	
7900	196370	198085	
8000	188923	190921	
8100	189415	191675	
8200	212466	215359	
8300	201923	204679	
8400	199726	202894	
8500	218642	222279	
8600	175408	177204	
8700	184281	186088	
8800	172200	173762	
8900	187343	188950	
9000	180672	182251	
9100	173013	174687	
9200	182440	184966	
9300	190936	193030	
9400	180785	182287	
9500	177955	179516	
9600	173289	175097	
9700	179908	181732	
9800	182642	184293	
9900	192962	194580	
10000	200290	202165	
