1,3.685,11.172,43148.2
2,19.868,74.281,487410
3,55.914,259.071,120397
4,348.962,494.61,325924
5,502.512,936.582,1.4835e+06
6,1837.23,1747.99,2.63e+06
7,464.819,1925.84,3.73706e+06
8,3392.78,3146.2,4.78701e+06
9,4623.49,3557.01,5.99491e+06
10,6253.71,4178.71,6.80328e+06
11,7230.39,3682.49,9.98677e+06
12,3622.24,5528.86,1.02743e+07
13,10474.8,7905,1.33315e+07
14,3791.93,10568.4,1.42833e+07
15,3567.37,7985.99,1.57558e+07
16,5669.94,14247.6,1.5773e+07
17,2153.6,14967.2,1.57336e+07
18,13775.8,17389.7,1.57334e+07
19,12735.7,15722.7,1.57372e+07
20,3001.18,13407.7,1.56864e+07
21,17630.9,16205.2,1.57354e+07
22,4463.41,18545.4,1.57137e+07
23,8108.26,14213.6,1.57283e+07
24,3725.55,16614.8,1.57259e+07
25,7575.79,18672.4,1.54465e+07
26,3515.96,18895.3,1.58781e+07
27,19581.8,15545.2,6.71406e+06
