# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTre
100,0.457,1.582,2.835,0.561
200,1.346,3.68,5.823,3.237
300,3.191,6.704,10.668,4.729
400,1.603,5.12,8.76,6.197
500,3.969,9.981,16.454,11.234
600,1.778,11.646,22.431,10.441
700,2.11,12.787,23.442,10.509
800,1.232,14.124,28.213,13.028
900,7.42,17.49,39.502,13.864
1000,11.065,19.945,40.028,8.523
1100,9.911,21.54,46.482,20.033
1200,10.371,30.739,55.129,30.931
1300,11.658,31.479,53.288,26.747
1400,14.189,43.679,65.491,33.518
1500,8.637,34.399,65.039,34.596
1600,6.503,41.44,81.352,38.92
1700,5.61,36.342,77.735,42.756
1800,17.777,62.143,101.526,48.852
1900,20.828,57.604,101.034,62.419
2000,23.464,55.175,119.941,56.406
2100,30.351,88.172,132.795,75.134
2200,19.411,99.186,135.281,67.251
2300,12.095,64.234,116.78,51.429
2400,7.013,59.074,114.831,55.922
2500,24.144,84.639,146.363,71.969
2600,28.794,80.179,143.835,68.029
2700,60.661,133.57,186.299,99.285
2800,24.783,82.211,139.758,80.392
2900,19.759,90.174,154.736,75.832
3000,44.769,121.369,196.939,96.153
3100,42.77,128.523,197.445,111.194
3200,20.324,81.437,162.475,77.665
3300,59.47,151.545,204.054,128.662
3400,33.026,93.21,156.725,91.682
3500,32.234,92.256,164.966,88.104
3600,22.422,89.377,161.468,78.285
3700,33.506,106.871,185.124,96.099
3800,61.037,147.709,226.025,139.226
3900,70.864,164.796,240.643,169.017
4000,47.516,155.075,221.939,127.008
4100,49.846,165.791,220.934,127.432
4200,48.424,146.061,238.404,137.341
4300,52.26,169.572,256.492,142.88
4400,40.858,213.981,310.333,125.075
4500,74.939,182.038,313.363,156.714
4600,57.992,237.854,343.935,180.554
4700,66.139,212.269,317.728,140.433
4800,105.226,438.367,566.906,364.737
4900,48.953,214.468,340.132,143.601
5000,74.537,238.359,329.903,191.653
5100,76.642,232.827,320.145,186.031
5200,85.74,216.214,339.376,200.043
5300,69.638,221.245,306.848,185.718
5400,80.313,227.28,318.069,183.289
5500,73.146,221.633,317.546,179.961
5600,79.79,249.927,481.093,191.667
5700,102.417,281.74,367.964,207.671
5800,83.231,230.956,337.293,175.452
5900,74.701,255.867,387.418,204.273
6000,110.092,380.454,505.374,272.756
6100,74.234,279.855,364.942,199.933
6200,103.343,271.665,373.653,209.212
6300,86.811,279.922,416.232,223.973
6400,174.133,363.572,518.177,344.671
6500,101.411,282.018,407.837,222.418
6600,114.427,299.561,414.059,236.856
6700,113.348,295.388,416.364,233.577
6800,107.635,369.389,529.537,290.99
6900,122.287,310.985,425.662,243.854
7000,101.85,309.911,436.836,227.144
7100,107.504,319.098,434.678,240.206
7200,111.551,316.054,443.647,266.033
7300,124.669,306.921,453.936,263.21
7400,103.125,340.239,476.921,271.863
7500,110.168,319.879,455.882,257.205
7600,113.371,350.44,473.149,275.799
7700,94.679,344.942,492.129,264.846
7800,170.938,504.822,668.668,419.232
7900,113.496,365.487,493.091,280.225
8000,119.193,451.5,653.046,325.645
8100,115.255,378.074,510.925,278.173
8200,212.644,537.868,704.676,417.519
8300,132.786,372.771,515.893,276.981
8400,131.954,431.436,610.964,340.742
8500,147.389,397.752,549.81,295.924
8600,167.526,554.264,697.171,420.334
8700,116.334,412.173,598.71,311.992
8800,253.572,516.946,669.605,436.491
8900,162.65,481.625,628.791,359.828
9000,153.449,437.947,583.779,324.992
9100,161.917,451.029,599.424,338.216
9200,167.075,464.971,610.304,362.574
9300,157.932,438.984,618.93,335.596
9400,159.63,479.056,628.932,380.806
9500,162.468,459.037,637.711,360.967
9600,163.332,481.702,635.521,361.601
9700,162.606,493.363,677.703,370.041
9800,181.143,516.16,692.37,400.588
9900,177.713,472.972,655.701,382.044
10000,177.055,512.143,683.04,382.851
