#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.737,2.288,1.656,2.032,
200,0.86,2.771,2.058,1.135,
300,3.615,7.787,6.68,1.475,
400,1.911,6.621,4.555,3.722,
500,2.804,13.384,9.59,12.226,
600,4.06,12.904,7.503,11.87,
700,6.907,17.794,13.879,10.411,
800,4.507,16.872,16.508,16.8,
900,7.689,28.405,31.838,23.319,
1000,10.376,27.464,30.056,21.815,
1100,16.118,35.725,28.273,33.752,
1200,11.336,44.276,36.434,33.768,
1300,18.031,56.504,49.561,36.895,
1400,17.465,39.236,31.536,21.141,
1500,30.086,40.928,48.817,37.05,
1600,35.026,60.832,48.532,55.926,
1700,19.282,56.008,43.428,50.534,
1800,3.613,39.944,39.887,46.231,
1900,32.841,72.539,73.935,60.286,
2000,35.296,73.861,83.091,67.062,
2100,37.692,90.96,73.927,87.346,
2200,26.928,59.976,73.228,72.924,
2300,32.613,86.587,70.563,72.691,
2400,36.735,87.931,78.011,70.764,
2500,15.909,70.118,53.403,47.579,
2600,20.122,80.586,67.275,70.043,
2700,12.655,74.906,59.509,66.973,
2800,29.937,83.881,77.374,85.503,
2900,30.876,96.757,83.444,86.771,
3000,45.64,106.961,88.025,93.659,
3100,37.354,100.996,112.366,99.61,
3200,128.91,342.13,297.847,300.624,
3300,103.004,154.254,169.942,178.089,
3400,57.701,136.255,160.619,148.11,
3500,69.137,170.054,156.928,156.923,
3600,43.884,143.413,121.057,127.979,
3700,48.449,138.915,123.023,140.372,
3800,53.698,145.331,138.192,124.573,
3900,53.454,132.107,147.623,143.479,
4000,48.521,169.265,144.531,131.464,
4100,77.858,214.056,216.559,199.395,
4200,105.784,234.541,209.033,211.955,
4300,100.425,209.358,206.18,192.083,
4400,81.038,192.833,173.642,155.472,
4500,72.977,189.833,188.863,174.492,
4600,68.506,194.426,165.018,173.602,
4700,71.844,194.732,218.356,203.294,
4800,68.748,436.329,467.524,441.305,
4900,89.9,248.639,216.898,251.568,
5000,80.332,288.55,316.35,230.888,
5100,111.683,249.129,288.844,269.813,
5200,82.327,231.333,199.67,219.231,
5300,93.941,255.581,222.178,210.416,
5400,105.331,262.848,263.744,255.532,
5500,108.066,263.596,230.732,250.033,
5600,113.363,250.691,212.605,208.898,
5700,99.397,244.523,251.45,210.056,
5800,122.926,297.391,301.438,267.045,
5900,137.963,288.551,289.028,245.265,
6000,179.701,563.686,534.352,519.563,
6100,111.602,267.719,233.712,269.259,
6200,122.346,304.462,286.605,285.277,
6300,113.227,292.975,235.308,274.403,
6400,212.322,398.255,387.493,339.732,
6500,163.982,328.812,301.869,312.581,
6600,120.308,323.328,262.553,267.509,
6700,142.123,360.01,298.306,269.337,
6800,127.896,552.349,436.161,424.213,
6900,132.006,357.507,320.073,292.467,
7000,150.175,348.751,298.971,313.408,
7100,147.463,603.875,480.517,515.642,
7200,203.53,433.768,362.613,379.845,
7300,138.206,354.438,318.721,288.298,
7400,161.153,370.348,349.785,327.176,
7500,158.507,405.875,355.125,353.027,
7600,164.646,360.728,304.839,317.19,
7700,141.367,399.54,347.705,378.25,
7800,174.579,410.54,353.635,385.922,
7900,160.169,416.998,365.849,372.77,
8000,160.097,410.035,359.619,347.913,
8100,150.045,399.224,342.108,336.946,
8200,206.805,480.592,424.839,409.969,
8300,167.164,416.605,352.455,378.022,
8400,237.981,477.363,413.374,450.854,
8500,162.776,437.506,385.378,355.835,
8600,138.724,411.2,363.161,341.741,
8700,179.977,455.219,385.164,408.902,
8800,235.576,491.639,416.004,428.044,
8900,160.749,454.787,379.747,398.079,
9000,160.54,493.397,417.823,383.831,
9100,201.041,520.073,463.017,447.003,
9200,192.048,609.104,467.45,494.44,
9300,201.376,603.272,503.227,471.071,
9400,218.276,618.841,527.523,488.979,
9500,274.408,627.721,542.786,575.085,
9600,247.28,847.799,700.676,729.794,
9700,237.493,597.309,523.282,470.242,
9800,262.933,671.783,586.172,650.777,
9900,258.25,611.549,536.719,459.982,
10000,199.784,707.54,615.161,620.553,
