#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.139,0.475,0.638,0.991,
200,0.397,1.232,2.316,1.942,
300,1.915,2.741,3.827,3.339,
400,0.715,3.547,5.154,5.254,
500,0.803,3.367,4.409,3.477,
600,1.012,4.19,6.062,4.268,
700,2.74,3.971,8.732,8.918,
800,1.349,5.669,7.551,6.112,
900,1.621,6.616,8.866,7.16,
1000,1.791,7.364,9.979,8.423,
1100,2.025,8.294,11.231,9.351,
1200,4.836,9.095,12.508,10.518,
1300,2.677,12.908,21.931,21.356,
1400,2.691,10.884,17.264,13.225,
1500,7.005,17.674,27.181,23.9,
1600,8.412,16.714,25.185,25.33,
1700,4.2,19.574,28.844,30.833,
1800,3.46,14.267,20.501,15.227,
1900,9.784,20.171,30.399,29.426,
2000,11.127,22.391,33.391,37.925,
2100,8.527,17.646,27.946,21.23,
2200,11.2,20.807,30.389,24.078,
2300,12.567,20.716,31.778,26.042,
2400,14.343,24.667,33.402,27.262,
2500,11.764,22.884,36.034,27.952,
2600,15.333,30.46,47.036,46.571,
2700,15.493,35.338,49.175,47.144,
2800,17.271,38.893,58.374,48.014,
2900,22.38,42.877,66.581,63.066,
3000,18.791,42.486,64.182,68.55,
3100,19.899,33.653,52.208,49.65,
3200,16.733,36.502,55.104,51.778,
3300,23.663,45.82,75.503,72.64,
3400,21.532,50.381,74.313,79.321,
3500,26.338,46.158,78.752,74.802,
3600,25.993,47.671,72.162,79.055,
3700,26.111,54.414,74.744,83.011,
3800,39.287,60.401,83.762,75.967,
3900,40.215,60.077,91.775,93.789,
4000,40.187,73.429,98.083,86.003,
4100,39.811,70.435,90.124,87.71,
4200,32.145,50.141,83.562,67.297,
4300,30.025,60.61,83.035,66.881,
4400,29.953,70.999,92.855,85.3,
4500,40.416,66.308,99.079,101.269,
4600,43.208,73.887,105.353,114.154,
4700,42.533,81.126,109.4,116.841,
4800,40.812,79.773,111.802,116.328,
4900,44.394,81.099,120.757,121.331,
5000,43.965,115.695,141.814,131.271,
5100,55.131,90.978,130.514,125.278,
5200,44.338,77.27,118.962,129.636,
5300,56.297,119.132,138.997,149.992,
5400,46.574,131.503,139.755,121.19,
5500,46.623,115.899,151.713,143.018,
5600,47.986,103.335,145.785,140.495,
5700,50.012,126.741,160.259,150.589,
5800,43.131,104.755,141.548,154.289,
5900,47.316,103.665,148.587,160.937,
6000,49.534,91.83,134.851,151.138,
6100,41.42,101.13,143.964,125.48,
6200,74.477,130.393,170.717,171.685,
6300,43.562,134.401,159.526,141.96,
6400,37.688,117.913,154.184,137.811,
6500,54.245,110.621,163.959,154.823,
6600,68.237,122.153,155.74,160.955,
6700,71.286,123.284,167.151,157.845,
6800,69.008,130.877,171.375,159.16,
6900,68.394,145.489,187.32,180.075,
7000,78.655,158.687,205.323,193.603,
7100,85.655,177.503,187.098,206.438,
7200,70.772,155.361,182.904,174.734,
7300,54.778,158.825,185.438,170.791,
7400,67.864,160.064,191.374,181.525,
7500,33.725,101.174,152.414,154.438,
7600,74.187,155.464,198.132,195.224,
7700,88.143,188.711,227.108,223.989,
7800,76.355,176.571,214.617,198.468,
7900,88.12,195.163,243.456,229.165,
8000,73.822,159.884,227.857,204.452,
8100,81.736,178.258,230.959,235.334,
8200,74.196,192.048,226.549,212.571,
8300,71.577,203.482,214.08,218.54,
8400,88.993,196.381,252.999,242.667,
8500,71.81,195.637,224.719,216.455,
8600,88.926,192.123,246.435,261.096,
8700,97.911,238.549,261.492,272.872,
8800,87.007,195.113,251.836,245.947,
8900,74.6,202.208,248.418,232.019,
9000,79.477,219.864,255.353,256.035,
9100,82.165,253.976,267.996,257.682,
9200,85.264,232.401,273.355,269.778,
9300,90.942,223.605,278.396,258.698,
9400,138.415,238.565,287.053,256.093,
9500,99.653,258.436,296.194,279.58,
9600,94.938,218.606,278.759,286.927,
9700,114.829,230.582,284.512,308.576,
9800,118.603,249.768,288.145,308.188,
9900,128.738,304.628,342.095,305.898,
10000,120.884,280.307,331.153,313.606,
