#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,0.461,1.178,1.292,1.149,
200,1.034,2.6,2.73,2.577,
300,0.941,3.124,3.673,3.986,
400,1.639,7.317,5.988,5.23,
500,2.772,7.406,8.814,7.744,
600,2.116,9.162,11.473,8.969,
700,2.913,10.217,13.174,11.886,
800,4.704,13.913,16.136,15.621,
900,3.517,11.819,14.842,17.028,
1000,7.822,19.79,18.398,22.249,
1100,12.331,19.333,23.207,22.074,
1200,8.52,19.892,24.159,24.733,
1300,12.391,20.488,29.451,25.947,
1400,15.14,22.065,27.637,30.553,
1500,9.21,24.667,29.597,30.947,
1600,12.21,29.176,39.508,36.783,
1700,10.056,29.427,37.685,37.031,
1800,6.075,29.636,37.554,39.022,
1900,13.699,31.024,48.006,39.712,
2000,22.219,38.746,44.733,47.48,
2100,19.541,38.566,51.152,49.901,
2200,16.404,42.411,51.372,49.717,
2300,27.802,43.936,56.91,57.286,
2400,19.554,55.308,64.362,56.514,
2500,21.973,48.929,54.122,61.581,
2600,22.443,59.922,52.602,67.016,
2700,40.946,57.805,69.943,74.239,
2800,35.995,63.957,76.943,77.603,
2900,29.228,63.436,77.755,74.486,
3000,24.901,69.29,80.468,74.592,
3100,36.751,68.584,82.804,86.688,
3200,37.899,82.177,97.912,93.396,
3300,39.197,81.222,83.37,92.23,
3400,40.031,83.878,87.398,99.224,
3500,41.804,84.474,97.93,100.988,
3600,42.995,80.167,105.326,96.645,
3700,45.966,94.503,109.064,116.454,
3800,38.517,94.32,106.962,108.837,
3900,32.318,78.295,103.188,95.09,
4000,54.427,103.616,123.859,117.794,
4100,42.903,103.52,120.454,116.26,
4200,55.851,116.081,127.82,119.199,
4300,64.408,111.613,136.675,142.259,
4400,66.497,132.675,143.814,123.815,
4500,63.767,124.876,138.61,135.618,
4600,81.941,146.815,148.258,153.544,
4700,53.923,121.417,139.532,144.953,
4800,75.474,153.586,155.41,147.386,
4900,76.733,143.912,154.452,159.56,
5000,76.724,140.522,169.524,167.911,
5100,84.929,161.824,174.566,176.983,
5200,72.313,159.772,169.892,178.383,
5300,72.858,159.651,169.046,173.492,
5400,81.491,163.899,178.402,169.306,
5500,75.925,178.019,199.76,184.638,
5600,84.468,189.779,178.723,190.975,
5700,91.421,204.195,186.453,190.253,
5800,87.723,179.628,199.766,200.515,
5900,88.884,182.525,202.841,196.896,
6000,84.274,170.133,210.432,196.065,
6100,110.855,207.293,228.808,234.188,
6200,86.291,217.304,216.757,229.17,
6300,113.119,211.523,233.92,230.586,
6400,87.327,219.165,236.342,224.17,
6500,103.321,204.446,226.428,238.803,
6600,128.758,244.742,241.413,246.545,
6700,96.401,221.669,243.332,242.223,
6800,121.702,235.21,263.537,259.614,
6900,120.928,243.043,263.862,256.433,
7000,119.19,231.9,250.843,246.799,
7100,109.521,251.349,269.734,249.097,
7200,127.746,256.766,289.044,273.108,
7300,120.74,241.48,269.521,260.302,
7400,123.98,273.6,285.778,284.309,
7500,153.149,277.231,286.536,288.81,
7600,139.839,271.317,295.046,288.735,
7700,130.477,270.709,309.143,275.279,
7800,135.215,326.917,295.862,302.925,
7900,142.278,286.314,312.102,315.427,
8000,155.407,320.976,323.41,309.342,
8100,150.84,313.323,322.724,322.502,
8200,214.736,326.283,367.031,314.498,
8300,123.456,308.345,316.47,278.361,
8400,148.499,317.729,330.383,326.476,
8500,146.575,310.085,339.178,312.149,
8600,173.672,337.311,359.838,356.617,
8700,172.9,360.719,362.297,376.335,
8800,198.033,364.905,374.448,389.334,
8900,170.323,378.359,352.869,364.31,
9000,161.958,398.34,367.118,378.558,
9100,174.241,370.081,389.639,382.683,
9200,180.79,407.928,419.701,398.964,
9300,160.403,397.59,397.892,397.96,
9400,170.551,361.524,377.758,383.133,
9500,191.665,408.771,421.598,397.149,
9600,208.572,445.151,413.272,432.809,
9700,198.202,413.018,413.341,397.727,
9800,184.11,441.361,437.018,398.555,
9900,192.64,453.763,433.713,420.436,
10000,217.167,454.263,460.215,439.381,
