#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.283,0.211,0.673,0.345,
200,0.575,0.411,2.138,1.822,
300,0.908,0.489,2.1,1.318,
400,1.287,0.811,4.803,3.997,
500,1.626,0.936,4.32,3.374,
600,2.263,1.288,6.698,7.858,
700,1.299,2.677,10.412,9.61,
800,2.587,3.133,9.425,11.368,
900,3.949,2.208,11.493,13.543,
1000,2.36,4.338,14.356,11.506,
1100,6.906,7.265,14.638,17.559,
1200,4.906,7.83,16.538,19.665,
1300,6.037,7.625,22.027,20.925,
1400,3.244,6.696,21.518,23.51,
1500,9.885,13.824,26.65,26.265,
1600,9.221,16.844,23.664,27.333,
1700,5.786,18.267,33.499,30.622,
1800,9.217,17.723,28.766,25.107,
1900,2.559,6.099,18.821,14.604,
2000,6.884,16.302,29.065,22.616,
2100,16.213,6.556,35.125,32.445,
2200,11.84,24.073,39.846,40.062,
2300,12.342,26.414,49.758,52.905,
2400,13.278,23.723,46.904,33.575,
2500,8.99,18.762,46.497,38.537,
2600,10.466,27.398,46.586,33.714,
2700,23.035,27.17,58.938,42.356,
2800,44.611,33.94,65.52,69.844,
2900,31.885,30.773,67.711,72.308,
3000,15.411,32.279,67.745,51.007,
3100,17.928,44.7,67.04,57.486,
3200,18.731,43.686,87.096,81.522,
3300,19.52,43.538,72.569,66.957,
3400,42.399,46.106,79.155,75.601,
3500,115.285,186.051,255.854,249.159,
3600,64.839,98.113,135.807,132.672,
3700,46.961,63.837,99.521,100.643,
3800,38.395,58.31,111.096,106.48,
3900,44.014,60.722,112.741,104.019,
4000,43.028,71.492,110.485,104.157,
4100,45.783,60.943,99.918,103.06,
4200,44.867,67.119,96.051,101.239,
4300,36.711,62.102,102.708,99.83,
4400,50.968,77.055,115.259,105.606,
4500,47.963,73.643,111.799,106.241,
4600,72.249,56.774,112.566,114.914,
4700,47.644,84.221,115.388,122.119,
4800,50.25,84.757,123.15,120.926,
4900,52.592,100.696,126.054,127.654,
5000,36.356,79.306,123.943,116.77,
5100,44.654,100.337,132.683,133.931,
5200,74.456,97.588,136.2,129.109,
5300,50.395,89.838,136.367,129.806,
5400,73.385,91.746,142.211,133.142,
5500,56.404,99.243,142.16,134.09,
5600,51.255,104.14,150.848,156.311,
5700,49.453,105.446,150.627,148.259,
5800,45.51,101.056,140.117,141.934,
5900,56.531,119.279,164.845,151.75,
6000,32.19,109.205,152.455,144.752,
6100,54.088,116.796,166.789,159.879,
6200,65.853,132.424,165.636,170.388,
6300,78.716,112.318,171.701,168.204,
6400,63.277,125.809,160.003,157.485,
6500,56.629,122.661,158.217,166.023,
6600,67.238,131.933,175.569,178.35,
6700,96.717,133.61,186.479,181.455,
6800,73.117,148.581,180.696,194.582,
6900,70.758,132.927,179.032,176.194,
7000,72.081,155.976,203.522,197.045,
7100,73.794,142.688,190.635,189.326,
7200,73.827,150.018,195.979,207.657,
7300,63.982,131.206,195.664,177.796,
7400,80.329,152.305,201.09,206.166,
7500,85.42,166.89,230.357,232.94,
7600,82.451,165.707,232.871,226.893,
7700,92.401,218.574,280.705,282.174,
7800,83.94,176.364,274.811,274.924,
7900,114.871,169.067,241.545,237.711,
8000,80.742,203.891,262.303,242.69,
8100,88.446,178.372,239.561,234.919,
8200,122.072,249,314.189,293.173,
8300,87.903,191.734,230.468,233.724,
8400,85.947,183.112,237.416,237.721,
8500,95.946,204.384,260.332,245.085,
8600,102.311,203.119,251.55,260.274,
8700,84.648,234.252,300.259,297.961,
8800,133.665,284.662,390.212,337.535,
8900,235.473,464.153,572.329,528.737,
9000,98.51,225.63,298.861,295.744,
9100,123.91,234.568,322.299,325.225,
9200,136.281,240.478,312.974,307.085,
9300,122.725,248.162,323.306,308.603,
9400,264.248,496.103,566.892,502.077,
9500,142.988,237.85,290.923,290.504,
9600,116.416,239.964,304.036,300.403,
9700,109.89,245.417,322.334,309.171,
9800,112.56,241.593,306.766,307.051,
9900,120.317,248.074,315.339,334.262,
10000,136.319,273.778,336.866,316.859,
