1	878	312	2	
2	14401	3439	1	
3	18450	7550	1	
4	96658	31971	3	
5	164978	86224	50	
6	206810	129444	1	
7	315287	220726	3019	
8	384611	294703	9716	
9	427191	362260	50114	
10	459993	414943	88921	
11	479384	449360	203800	
12	490799	474170	284124	
13	495693	487487	355678	
14	498247	493564	392922	
15	499267	497654	442363	
16	499717	499129	439343	
17	499907	499687	415234	
18	499965	499880	367761	
19	499992	499977	293517	
20	499999	499993	178997	
21	499998	499996	105939	
22	500000	500000	55960	
23	500000	500000	37468	
24	500000	500000	6142	
25	500000	500000	418	
26	500000	500000	214	
27	500000	500000	40	
28	500000	500000	1	
29	500000	500000	7	
30	500000	500000	2	
31	500000	500000	4	
32	500000	500000	1	
