#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,0.015,0.093,0.018,0.017,
200,0.021,0.205,0.021,0.02,
300,0.027,0.105,0.023,0.025,
400,0.133,0.046,0.032,0.198,
500,0.088,0.152,0.027,0.04,
600,0.735,0.206,0.052,0.044,
700,0.05,0.045,0.018,0.02,
800,0.05,0.165,0.054,0.057,
900,0.07,0.148,0.057,0.042,
1000,0.374,0.107,0.033,0.049,
1100,0.091,0.08,0.043,0.133,
1200,0.091,0.444,0.122,0.088,
1300,0.325,0.241,0.098,0.151,
1400,0.104,2.21,0.155,0.15,
1500,0.13,0.176,0.154,0.116,
1600,0.164,0.269,1.043,0.246,
1700,0.196,0.187,0.114,0.116,
1800,0.137,0.247,1.818,0.167,
1900,0.223,0.162,0.068,0.108,
2000,0.177,0.267,0.904,0.336,
2100,0.228,0.281,1.159,0.61,
2200,0.609,0.211,0.175,0.187,
2300,0.178,0.417,0.394,5.96,
2400,0.212,9.345,0.299,8.154,
2500,3.533,0.435,0.169,0.141,
2600,1.269,3.468,0.706,0.313,
2700,0.225,2.768,0.203,0.328,
2800,0.41,0.416,0.275,0.471,
2900,0.287,0.519,0.225,0.581,
3000,1.193,1.39,0.195,0.519,
3100,0.296,2.391,0.37,0.448,
3200,0.424,0.497,0.231,0.223,
3300,3.212,2.447,4.073,1.057,
3400,0.98,0.776,1.179,0.696,
3500,0.684,0.497,0.574,0.742,
3600,1.272,1.556,0.561,3.848,
3700,3.6,1.965,0.311,2.672,
3800,1.216,2.953,0.384,1.312,
3900,11.074,2.762,0.375,0.768,
4000,2.216,0.441,0.385,0.852,
4100,1.233,3.021,0.635,2.753,
4200,2.829,2.553,3.579,2.654,
4300,0.472,1.235,2.48,1.481,
4400,1.548,0.797,0.322,0.625,
4500,9.997,1.682,2.921,1.563,
4600,0.538,2.064,0.902,1.427,
4700,3.979,2.169,0.435,0.638,
4800,1.199,3.369,0.599,2.126,
4900,4.946,0.943,0.458,1.993,
5000,1.027,1.854,0.42,2.453,
5100,2.64,1.14,1.92,1.654,
5200,3.482,2.926,0.374,2.319,
5300,2.085,3.144,1.042,8.065,
5400,6.099,2.49,0.646,3.484,
5500,2.605,3.867,1.892,2.527,
5600,4.556,7.258,1.615,4.435,
5700,6.217,2.636,0.916,2.238,
5800,3.013,6.972,1.685,2.905,
5900,8.583,3.536,1.811,3.552,
6000,4.028,2.747,1.239,3.029,
6100,3.524,4.785,0.618,4.809,
6200,3.958,1.531,0.763,1.947,
6300,17.982,2.789,1.691,8.029,
6400,13.759,5.053,2.444,1.829,
6500,0.78,2.316,0.877,1.563,
6600,2.781,4.693,3.371,0.977,
6700,2.851,4.583,9.337,2.238,
6800,2.279,1.866,0.818,5.832,
6900,3.147,3.223,0.542,0.198,
7000,6.438,2.639,1.743,2.25,
7100,4.159,1.098,0.472,7.055,
7200,2.442,5.355,0.708,1.5,
7300,16.98,4.084,0.376,0.533,
7400,7.902,5.636,0.732,2.277,
7500,5.678,4.712,0.189,0.339,
7600,2.675,3.01,0.547,0.39,
7700,5.808,4.877,0.281,0.35,
7800,2.833,4.008,0.715,0.219,
7900,4.866,2.865,1.253,0.267,
8000,8.739,10.131,1.929,2.772,
8100,8.497,9.463,0.182,0.486,
8200,8.71,11.042,0.373,2.966,
8300,5.086,3.096,0.425,2.628,
8400,9.982,3.475,0.252,1.234,
8500,5.547,3.409,0.253,0.36,
8600,4.024,6.833,0.349,0.675,
8700,2.696,3.62,0.253,0.877,
8800,9.587,2.264,0.295,0.447,
8900,5.427,3.564,2.449,0.326,
9000,1.242,8.271,0.827,6.47,
9100,4.805,11.663,0.506,0.562,
9200,9.799,8.707,3.102,0.738,
9300,16.353,1.21,0.308,0.224,
9400,3.107,2.993,0.556,0.71,
9500,6.267,1.58,0.221,1.316,
9600,5.17,5.479,2.107,1.024,
9700,2.591,3.767,1.307,1.391,
9800,2.185,10.378,1.2,1.11,
9900,5.745,3.811,0.942,1.229,
10000,9.602,14.517,2.261,1.545,
