# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTre
100,0.007,0.011,0.054,0.026
200,0.01,0.013,0.169,0.05
300,0.031,0.04,0.666,0.107
400,0.029,0.036,0.268,0.094
500,0.036,0.098,0.35,0.083
600,0.097,0.272,0.302,0.161
700,1.27,0.179,0.366,3.329
800,0.34,0.186,0.388,0.202
900,0.063,0.151,0.495,0.292
1000,0.075,1.087,0.735,0.258
1100,3.112,0.136,0.531,0.247
1200,0.08,0.138,1.081,4.605
1300,0.226,0.226,0.627,1.145
1400,0.127,0.701,1.11,0.472
1500,0.107,1.658,2.182,0.82
1600,3.488,1.83,1.611,2.121
1700,0.159,0.262,1.549,0.171
1800,4.747,1.638,1.24,0.733
1900,0.176,0.767,0.946,0.614
2000,0.33,0.497,1.588,0.817
2100,0.278,0.22,1.396,0.34
2200,0.523,2.246,2.674,0.249
2300,0.327,0.977,1.16,2.196
2400,0.286,0.521,2.176,5.22
2500,0.421,1.3,1.358,1.983
2600,1.097,0.515,1.17,0.44
2700,0.322,0.528,1.766,0.785
2800,0.881,0.585,1.223,0.422
2900,0.227,0.426,2.926,0.622
3000,0.798,0.747,2.711,1.194
3100,1.237,2.452,3.59,0.516
3200,0.695,1.283,2.493,0.894
3300,0.545,2.592,3.112,0.872
3400,1.681,1.027,2.784,0.962
3500,3.35,1.689,3.131,0.386
3600,2.598,3.404,3.374,0.302
3700,2.932,5.804,3.069,2.256
3800,2.185,1.557,2.269,0.823
3900,0.864,2.655,3.551,4.616
4000,3.332,4.338,1.958,0.68
4100,3.265,1.054,4.104,3.739
4200,0.425,1.874,1.689,0.668
4300,0.351,3.131,4.835,0.651
4400,0.438,0.938,2.424,1.724
4500,0.873,3.644,3.59,1.288
4600,3.148,5.22,1.456,3.295
4700,0.899,15.34,2.835,0.766
4800,2.415,0.849,3.563,0.476
4900,2.898,1.106,3.414,0.584
5000,2.491,2.062,5.152,0.369
5100,1.186,5.407,1.683,0.549
5200,4.066,3.312,4.016,1.231
5300,0.942,4.783,4.161,1.067
5400,14.047,2.689,2.804,3.375
5500,1.117,2.462,2.261,0.653
5600,1.245,1.73,2.238,0.637
5700,0.683,1.96,2.329,1.669
5800,4.567,3.925,3.212,0.552
5900,1.344,1.662,4.357,0.673
6000,2.354,0.836,2.313,0.277
6100,7.254,0.768,2.127,0.981
6200,9.953,0.933,2.556,4.565
6300,4.719,1.944,3.457,0.757
6400,1.574,6.738,3.6,1.012
6500,0.722,1.069,4.29,1.693
6600,2.747,2.086,2.81,0.456
6700,2.229,4.013,3.236,0.663
6800,2.252,1.212,4.171,0.374
6900,2.048,2.464,3.443,2.679
7000,0.746,2.144,2.274,1.815
7100,3.012,2.438,2.687,1.425
7200,1.087,1.786,2.934,0.937
7300,3.929,2.156,2.625,0.93
7400,7.425,3.678,2.941,0.857
7500,6.421,1.714,2.44,0.482
7600,7.293,3.886,2.5,1.056
7700,0.753,2.064,3.983,1.55
7800,0.951,1.367,2.547,1.37
7900,6.591,1.468,2.686,0.862
8000,8.998,1.297,2.138,0.993
8100,4.548,1.19,2.802,0.778
8200,20.147,0.942,2.989,3.472
8300,3.426,2.045,2.815,1.827
8400,4.385,4.359,2.961,4.436
8500,7.329,1.248,2.887,0.624
8600,1.006,3.305,2.491,0.41
8700,1.979,2.493,3.43,0.292
8800,1.733,3.736,4.046,7.289
8900,3.545,3.115,2.84,0.431
9000,2.97,1.512,2.761,0.658
9100,6.031,1.827,4.512,6.802
9200,1.318,1.066,3.277,2.396
9300,12.749,3.464,3.501,1.53
9400,6.261,1.413,4.879,1.111
9500,10.723,1.486,5.549,0.959
9600,1.079,3.167,4.78,0.659
9700,2.336,3.204,3.172,0.532
9800,2.569,1.249,4.981,5.255
9900,0.766,2.931,3.614,0.781
10000,8.008,3.306,4.456,1.127
