#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.012,0.391,0.041,0.112,
200,0.017,0.022,0.498,0.027,
300,0.027,0.269,0.035,0.035,
400,0.031,1.728,0.021,0.035,
500,0.076,0.107,0.495,0.127,
600,0.269,0.34,0.079,0.07,
700,0.12,0.208,0.422,0.124,
800,0.355,1.534,0.339,0.156,
900,0.214,1.068,3.034,0.128,
1000,0.212,0.336,0.079,0.104,
1100,0.54,0.23,0.895,1.08,
1200,0.144,1.25,1.131,0.183,
1300,0.299,0.285,0.282,0.89,
1400,1.007,0.245,0.158,0.195,
1500,13.39,7.053,2.085,1.355,
1600,0.434,0.929,0.458,0.534,
1700,1.091,0.507,1.197,0.648,
1800,1,2.793,0.26,0.483,
1900,0.249,0.376,1.393,1.953,
2000,0.306,0.442,0.221,0.322,
2100,0.266,0.499,0.602,1.175,
2200,0.323,0.475,0.384,0.272,
2300,2.671,7.039,0.184,0.542,
2400,0.469,0.484,2.52,0.892,
2500,0.599,0.737,1.855,0.355,
2600,0.334,0.603,0.288,0.364,
2700,0.528,0.672,0.323,0.554,
2800,0.273,1.098,0.945,1.437,
2900,0.389,2.03,0.985,1.115,
3000,0.269,0.789,0.539,0.519,
3100,1.553,1.048,0.046,0.048,
3200,0.274,1.334,0.05,0.212,
3300,0.222,2.507,0.061,0.053,
3400,0.118,1.537,0.338,0.137,
3500,0.132,1.289,0.025,0.713,
3600,0.079,1.35,0.032,0.049,
3700,0.132,1.258,0.044,0.09,
3800,0.285,0.938,0.039,0.05,
3900,4.435,2.624,0.083,0.114,
4000,0.3,8.345,0.096,0.384,
4100,0.432,0.654,0.371,0.133,
4200,15.99,0.87,0.068,0.062,
4300,0.249,0.672,0.052,0.104,
4400,1.069,0.938,0.445,0.068,
4500,0.329,1.483,0.119,0.093,
4600,0.487,3.366,0.03,0.031,
4700,2.453,1.376,0.051,0.05,
4800,1.033,4.034,0.079,0.573,
4900,0.405,1.699,0.081,0.214,
5000,0.329,1.19,0.477,0.29,
5100,0.331,3.469,3.543,0.09,
5200,0.586,2.028,0.076,0.083,
5300,0.275,1.241,0.134,0.036,
5400,1.094,2.274,0.224,0.119,
5500,0.547,1.98,0.044,0.146,
5600,3.075,3.464,0.102,0.243,
5700,0.743,1.782,0.119,0.324,
5800,9.869,1.658,0.391,7.308,
5900,0.287,2.604,0.136,0.176,
6000,0.82,5.839,0.319,0.124,
6100,0.483,1.472,0.211,0.514,
6200,0.298,2.265,0.349,0.365,
6300,0.769,4.09,0.104,0.134,
6400,1.491,1.869,0.18,1.493,
6500,3.579,4.485,0.174,0.175,
6600,1.136,4.579,0.2,0.104,
6700,5.751,6.136,0.144,0.375,
6800,1.03,7.608,0.182,0.19,
6900,3.371,4.016,0.318,0.16,
7000,0.524,13.529,0.391,0.224,
7100,5.303,4.172,0.15,0.316,
7200,1.156,4.765,0.415,0.126,
7300,0.688,7.755,0.677,0.784,
7400,4.78,6.336,1.181,3.347,
7500,2.884,10.051,1.596,0.664,
7600,0.718,20.823,0.117,0.275,
7700,0.642,2.011,0.301,0.257,
7800,1.181,7.626,0.144,0.381,
7900,0.733,7.138,0.144,0.185,
8000,3.379,4.625,0.105,0.084,
8100,7.516,4.371,0.094,0.161,
8200,0.655,7.553,0.136,0.146,
8300,1.332,9.12,0.176,0.506,
8400,1.069,2.511,0.651,2.462,
8500,0.802,5.87,0.189,0.158,
8600,6.659,3.561,0.398,0.547,
8700,6.436,3.452,0.138,0.16,
8800,0.739,1.691,0.087,0.101,
8900,3.55,10.974,0.343,0.47,
9000,1.588,4.756,0.128,0.163,
9100,0.944,1.727,0.203,0.628,
9200,1.28,11.376,0.182,0.216,
9300,1.213,3.41,0.14,0.368,
9400,1.056,4.879,0.104,0.119,
9500,0.978,4.529,0.227,0.304,
9600,0.477,20.251,0.274,0.101,
9700,1.903,2.199,0.093,0.108,
9800,0.532,2.138,3.214,0.159,
9900,9.301,2.295,0.101,0.102,
10000,3.385,6.918,0.079,0.087,
