#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,0.01085,0.05135,0.00745,0.0227,
200,0.05285,0.021,0.0777,0.06095,
300,0.01195,0.0619,0.08075,0.02645,
400,0.00975,0.02355,0.0215,0.042,
500,0.02275,0.1213,0.04785,0.0199,
600,0.01525,0.04475,0.0665,0.03425,
700,0.039,0.1964,0.0177,0.02495,
800,0.01825,0.26735,0.13245,0.19195,
900,0.0221,0.21775,0.0689,0.03195,
1000,0.02425,0.1849,0.23245,0.0377,
1100,0.02555,0.06335,0.23735,0.42095,
1200,0.05095,0.0605,0.033,0.0651,
1300,0.06635,0.2083,0.32015,0.04455,
1400,0.28675,0.1507,0.6207,0.0779,
1500,0.03125,0.07635,0.0378,0.04435,
1600,0.0418,0.55225,1.01735,0.35615,
1700,0.541,0.39135,0.2508,0.40835,
1800,0.18495,0.13685,0.59335,0.0417,
1900,0.03065,0.5388,0.03865,0.0455,
2000,0.56625,0.41475,0.0388,0.30945,
2100,0.2943,0.18435,0.10825,0.0503,
2200,0.0675,0.1984,0.1131,0.1407,
2300,0.04865,0.8463,0.04015,0.27935,
2400,0.03855,0.6144,0.45565,0.66955,
2500,0.04045,0.4377,0.31215,0.5204,
2600,0.6769,1.294,0.1262,0.85305,
2700,0.1564,0.1349,0.9829,0.223,
2800,0.10775,0.9177,1.11375,0.2753,
2900,0.0617,0.75245,0.66645,0.11305,
3000,0.15235,0.2576,1.17045,0.2712,
3100,0.07725,0.70235,0.16515,0.7356,
3200,0.21165,0.38975,0.69765,0.1366,
3300,0.70685,0.1942,0.61415,0.15755,
3400,0.15765,0.85815,0.35235,1.11085,
3500,0.13275,0.8287,0.7111,0.6928,
3600,0.19235,0.46985,0.0658,0.1931,
3700,0.6435,0.4341,0.4778,0.62455,
3800,0.6575,0.85935,0.1031,0.39215,
3900,1.02995,0.48725,0.4809,0.50645,
4000,0.2659,0.5147,0.51625,0.83285,
4100,0.9725,1.22485,0.71745,0.65135,
4200,0.6345,1.21755,0.5438,0.1726,
4300,0.21265,2.3131,0.41435,0.171,
4400,0.5085,1.33185,0.41225,1.26705,
4500,1.03975,1.1979,1.3007,0.6485,
4600,0.4733,1.18165,0.1292,0.4262,
4700,0.40565,1.31675,0.81815,1.3322,
4800,0.8533,2.14525,0.07235,0.564,
4900,0.20965,1.1437,1.3931,0.2104,
5000,0.16245,1.49085,0.70815,0.2032,
5100,0.92265,0.9705,0.0764,1.3072,
5200,0.3864,1.81275,0.344,0.5569,
5300,0.15175,1.97535,1.8267,0.90125,
5400,0.131,1.43955,1.68835,0.74975,
5500,0.95815,2.389,0.54595,0.45435,
5600,0.1856,3.3179,0.4246,0.49955,
5700,1.53115,1.49195,0.27495,1.02755,
5800,0.3443,1.64085,0.15925,0.7279,
5900,0.296,1.2607,0.1615,0.8088,
6000,0.5559,2.3258,0.7758,0.22065,
6100,1.70175,1.79885,0.3266,1.2939,
6200,0.3638,3.18565,0.62545,0.2499,
6300,0.9921,2.9488,1.1051,0.61675,
6400,0.2613,2.8429,1.5598,1.20885,
6500,1.7916,1.71185,0.60905,0.6136,
6600,0.6041,1.77105,0.7731,0.9947,
6700,0.20585,1.8225,0.3448,1.55695,
6800,0.4551,2.345,0.7335,0.4416,
6900,0.24555,1.9634,0.6636,0.83205,
7000,0.41095,2.51535,0.66525,0.96055,
7100,1.13795,3.09015,0.65715,0.98325,
7200,0.6736,1.73245,0.57215,3.02925,
7300,1.8762,1.68385,0.2922,1.07735,
7400,2.31015,2.245,0.37335,1.24885,
7500,0.2742,1.542,1.15525,0.2444,
7600,0.9745,1.9777,0.4772,1.0722,
7700,0.58375,3.38535,1.2947,1.03465,
7800,0.54855,2.2372,0.95705,1.66875,
7900,0.35455,3.695,0.8357,1.20785,
8000,0.41975,1.31485,0.88145,0.89145,
8100,1.17375,2.051,0.6766,1.1883,
8200,1.1386,2.26675,0.35055,2.1444,
8300,1.0598,2.2692,0.9937,0.4924,
8400,0.45185,2.5237,1.4524,1.45855,
8500,1.8315,2.4517,1.42215,0.98875,
8600,1.66925,2.57095,0.6296,1.25685,
8700,4.86925,6.38645,1.0629,0.74535,
8800,2.29305,2.79235,0.35935,0.74195,
8900,1.2998,2.12085,0.84165,1.75025,
9000,1.1383,3.26955,0.64435,1.87855,
9100,1.18075,3.2203,0.8652,1.6316,
9200,1.1631,3.74205,1.5338,0.81775,
9300,1.33185,5.72,1.1001,1.94295,
9400,2.5984,1.68845,0.9003,1.6526,
9500,0.72875,2.8553,1.25435,1.4062,
9600,0.85395,2.26635,3.4954,1.369,
9700,2.09435,2.3185,1.16495,0.66325,
9800,1.9343,3.94925,0.6912,2.503,
9900,0.44855,2.9296,1.28355,0.9075,
10000,2.1229,3.31585,0.97015,0.4232,
