#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,0.009,0.01,0.007,0.009,
200,0.014,0.016,0.01,0.014,
300,0.022,0.023,0.019,0.021,
400,0.024,0.038,0.01,0.013,
500,0.027,0.077,0.018,0.025,
600,0.039,0.023,0.03,0.658,
700,0.027,0.048,0.047,0.059,
800,0.043,0.029,0.029,0.052,
900,0.042,0.078,0.135,0.037,
1000,0.05,0.061,0.053,0.04,
1100,0.104,0.109,0.046,0.065,
1200,0.071,0.058,0.059,0.282,
1300,0.073,0.075,0.04,0.093,
1400,0.152,0.105,0.141,1.195,
1500,0.085,0.053,0.066,0.131,
1600,0.014,0.201,0.113,0.25,
1700,0.015,0.075,0.015,0.023,
1800,0.02,0.09,0.018,0.032,
1900,0.062,0.063,1.804,0.113,
2000,0.347,0.131,0.112,0.063,
2100,0.09,0.12,0.03,0.05,
2200,0.087,0.128,0.239,0.145,
2300,0.097,0.094,0.104,0.069,
2400,0.128,0.087,0.21,0.162,
2500,0.102,1.162,0.046,0.157,
2600,0.098,0.258,0.08,0.538,
2700,0.106,1.338,0.052,0.052,
2800,0.096,0.13,0.137,0.124,
2900,3.065,1.208,0.106,0.192,
3000,0.25,0.633,0.11,0.363,
3100,1.744,1.707,0.172,0.113,
3200,0.119,0.238,0.283,0.383,
3300,0.672,0.257,0.14,0.194,
3400,0.9,0.416,0.137,0.193,
3500,1.305,1.158,0.49,0.264,
3600,0.18,0.503,0.09,0.125,
3700,0.146,4.887,0.273,1.431,
3800,0.254,0.339,0.467,1.152,
3900,0.235,1.738,2.28,0.239,
4000,1.175,0.439,0.05,0.283,
4100,1.28,1.567,0.165,0.203,
4200,0.911,2.215,0.33,0.56,
4300,0.156,2.899,0.509,0.341,
4400,0.461,0.319,0.469,0.172,
4500,0.201,0.429,0.239,0.374,
4600,0.351,0.606,5.462,0.166,
4700,3.285,0.378,0.096,0.255,
4800,2.563,5.327,0.219,0.182,
4900,1.364,3.667,0.801,0.354,
5000,1.262,1.549,0.18,0.277,
5100,0.592,2.252,0.311,0.516,
5200,0.421,1.389,1.089,0.257,
5300,2.434,3.805,0.4,1.465,
5400,1.012,6.022,0.284,1.019,
5500,2.395,3.166,0.268,0.85,
5600,0.806,2.45,0.489,0.83,
5700,1.663,3.83,0.183,0.552,
5800,1.296,4.854,0.064,0.089,
5900,5.901,1.231,0.712,1.057,
6000,1.982,0.685,0.308,1.193,
6100,3.951,2.443,0.653,0.449,
6200,1.818,1.437,0.723,0.905,
6300,0.44,0.791,0.263,2.256,
6400,0.589,3.8,1.733,1.021,
6500,4.228,1.521,0.459,0.469,
6600,2.393,1.103,0.294,0.898,
6700,0.581,1.409,0.374,0.918,
6800,0.679,9.779,0.181,0.368,
6900,1.989,2.719,0.194,0.278,
7000,0.902,6.297,0.494,0.671,
7100,0.808,0.544,0.323,0.561,
7200,0.984,0.532,1.466,1.024,
7300,0.335,7.57,0.462,1.185,
7400,0.557,0.749,0.172,1.049,
7500,1.306,1.085,0.649,0.453,
7600,3.721,5.884,0.993,0.528,
7700,0.258,7.344,0.957,0.406,
7800,0.918,6.253,0.147,0.234,
7900,1.66,1.252,0.32,0.259,
8000,0.925,7.576,0.294,0.544,
8100,0.431,0.817,0.562,0.422,
8200,4.154,1.214,0.612,0.203,
8300,3.105,3.129,0.462,0.386,
8400,2.275,1.099,0.076,0.142,
8500,0.952,5.358,0.273,0.904,
8600,0.166,7.66,0.066,0.756,
8700,0.577,7.146,0.2,0.466,
8800,0.646,0.972,0.226,0.155,
8900,1.332,7.877,0.367,0.432,
9000,1.217,6.126,0.678,0.148,
9100,0.777,3.229,0.41,0.25,
9200,3.551,8.09,0.153,0.676,
9300,5.252,2.836,1.14,0.531,
9400,6.399,0.944,0.227,0.833,
9500,1.328,2.894,1.295,1.364,
9600,4.593,2.602,0.647,1.451,
9700,3.597,9.688,0.246,0.304,
9800,4.055,4.191,0.185,0.248,
9900,0.28,6.59,0.283,0.29,
10000,0.28,0.979,0.716,0.227,
