1	44278	14514	11836	
2	131229	75607	57956	
3	162826	137975	128907	
4	334314	213385	183199	
5	344564	263366	234825	
6	349783	297750	271387	
7	352316	320499	292944	
8	353673	335306	322169	
9	354337	344209	331788	
10	354686	349413	322355	
11	354837	352234	309546	
12	354917	353702	273587	
13	354952	354420	248076	
14	354967	354708	199072	
15	354974	354858	147727	
16	354981	354931	104204	
17	354984	354966	69678	
18	354986	354975	44036	
19	354986	354979	26243	
20	354986	354983	14888	
21	354986	354983	7964	
22	354986	354983	4040	
23	354986	354984	1919	
24	354986	354985	894	
25	354986	354986	410	
26	354986	354986	174	
27	354986	354986	77	
