5	1044	43	23	
10	19575	43	23	
15	89875	43	23	
20	183667	43	23	
25	246111	43	23	
30	284091	43	23	
35	303811	43	23	
40	316540	43	23	
45	325051	43	23	
50	329712	43	23	
55	333353	43	23	
60	336415	43	23	
65	339913	43	23	
70	344295	43	23	
75	348877	43	23	
80	354062	43	23	
85	358510	43	23	
90	361750	43	23	
95	364469	43	23	
100	366255	43	23	
105	367386	43	23	
110	368160	43	23	
115	368543	43	23	
120	368845	43	23	
125	368923	43	23	
130	368949	43	23	
135	368985	43	23	
140	369002	43	23	
145	369012	43	23	
150	369019	43	23	
155	369027	43	23	
160	369027	43	23	
165	369077	88	95	
170	369196	175	182	
175	369499	605	678	
180	370206	1357	1625	
185	371754	3200	3967	
190	374971	6709	7320	
195	381056	16014	18322	
200	392114	34023	40372	
205	410838	67292	78747	
210	440190	122807	145385	
215	479242	206284	291350	
220	530642	318303	457290	
225	586398	454454	651415	
230	1123506	646597	841405	
235	1224806	907308	1182008	
240	1320884	1113890	1381156	
245	1404941	1277603	1503436	
250	1472862	1399629	1569645	
255	1525030	1485879	1599484	
260	1562053	1542376	1610746	
265	1585898	1576299	1613985	
270	1600374	1595928	1614721	
275	1608162	1606194	1614855	
280	1611684	1610831	1614889	
285	1613217	1612791	1614933	
290	1613894	1613686	1614950	
295	1614366	1614264	1614950	
300	1614522	1614460	1614950	
305	1614655	1614617	1614950	
310	1614730	1614704	1614950	
315	1614774	1614755	1614950	
320	1614803	1614789	1614950	
325	1614817	1614806	1614950	
330	1614829	1614818	1614950	
335	1614844	1614835	1614950	
340	1614874	1614867	1614950	
345	1614891	1614885	1614950	
350	1614891	1614885	1614950	
355	1614934	1614933	1614950	
