1	1933	637	19573	
2	12472	4295	50675	
3	44553	16573	24167	
4	102462	43143	32426	
5	164273	86102	96089	
6	241525	146639	212348	
7	316159	219057	316074	
8	377692	291940	411527	
9	426337	355929	464428	
10	462730	410436	487807	
11	480521	447985	496582	
12	491216	472298	499064	
13	496031	486160	498996	
14	498360	493711	497077	
15	499282	497232	489233	
16	499748	498965	473632	
17	499912	499615	435639	
18	499981	499879	384190	
19	499996	499965	298895	
20	499999	499986	221430	
21	500000	499993	202670	
22	500000	499999	130026	
23	500000	500000	300156	
24	500000	500000	255456	
25	500000	500000	218284	
26	500000	500000	162321	
27	500000	500000	271084	
