1000	0.009	0.035	
2000	0.015	0.041	
3000	0.01	0.05	
4000	0.009	0.09	
5000	0.012	0.059	
6000	0.013	0.078	
7000	0.01	0.1	
8000	1.498	0.093	
9000	0.01	0.118	
10000	0.008	0.1	
11000	0.008	0.104	
12000	0.01	0.115	
13000	0.01	0.148	
14000	0.008	0.074	
15000	0.011	0.103	
16000	0.01	0.151	
17000	0.007	0.108	
18000	0.009	0.124	
19000	0.012	0.115	
20000	0.014	0.139	
21000	0.01	0.123	
22000	0.008	0.12	
23000	0.015	0.117	
24000	0.009	0.134	
25000	0.012	0.125	
26000	0.007	0.218	
27000	0.012	0.125	
28000	0.007	0.134	
29000	0.007	0.118	
30000	0.011	6.988	
31000	0.011	0.134	
32000	0.008	0.122	
33000	0.009	0.127	
34000	0.011	0.282	
35000	0.009	0.134	
36000	0.014	0.13	
37000	0.01	0.124	
38000	0.01	0.128	
39000	0.011	0.2	
40000	0.014	0.126	
41000	0.01	0.125	
42000	0.163	0.127	
43000	0.014	0.14	
44000	0.008	0.135	
45000	0.015	0.264	
46000	0.009	0.141	
47000	0.014	0.164	
48000	0.011	0.137	
49000	0.011	0.136	
50000	0.011	0.151	
51000	0.008	0.157	
52000	0.01	0.119	
53000	0.008	0.148	
54000	0.012	0.123	
55000	0.007	0.246	
56000	0.01	0.18	
57000	0.01	0.13	
58000	0.005	0.952	
59000	0.011	0.149	
60000	0.032	2327.15	
61000	0.008	0.204	
62000	0.012	0.139	
63000	0.006	0.12	
64000	0.008	0.177	
65000	0.011	6.736	
66000	0.011	0.13	
67000	0.009	0.618	
68000	0.018	2491.45	
69000	0.01	0.147	
70000	0.009	0.158	
71000	0.01	0.129	
72000	0.026	13.868	
73000	0.008	1.448	
74000	0.01	0.225	
75000	0.013	0.401	
76000	0.028	2329.97	
77000	0.018	2334.99	
78000	0.013	47.001	
79000	0.009	0.166	
80000	0.009	0.277	
81000	0.012	7.168	
82000	0.017	2280.25	
83000	0.018	2317.43	
84000	0.049	2246.34	
85000	0.015	110.812	
86000	0.013	1.174	
87000	0.009	1.39	
88000	0.009	88.133	
89000	0.01	43.47	
90000	0.008	1.4	
91000	0.027	2324.67	
92000	0.01	2.198	
93000	0.012	14.802	
94000	0.018	576.162	
95000	1.899	599.16	
96000	0.013	2283.16	
97000	0.009	7.222	
98000	0.009	43.126	
99000	0.01	93.421	
100000	0.019	1021.91	
