100	4630.33	131.409	
200	4488.7	23.92	
300	4689.6	202.836	
400	4425.56	62.809	
500	4368.96	8.431	
600	4706.22	215.067	
700	4488.27	126.199	
800	4621.62	19.634	
900	4383.27	197.961	
1000	4339.33	208.687	
1100	4784.18	453.675	
1200	4666.8	47.561	
1300	4809.13	325.565	
1400	4493.94	287.23	
1500	4937.82	577.813	
1600	4418.32	31.177	
1700	5182.06	913.079	
1800	4904.9	113.393	
1900	4576.43	122.015	
2000	5008.14	417.344	
2100	4838.69	116.308	
2200	4476.15	103.519	
2300	5211.98	361.422	
2400	5040.63	438.332	
2500	4878.01	83.906	
2600	5063.03	263.872	
2700	5651.75	326.862	
2800	5732.51	419.699	
2900	5758.43	519.835	
3000	5672.97	394.586	
3100	5291.23	256.729	
3200	5822.79	488.148	
3300	5502.98	412.552	
3400	5284.5	454.473	
3500	5568.23	488.549	
3600	5211.56	345.101	
3700	5507.81	718.739	
3800	5423.18	582.216	
3900	5512.9	595.409	
4000	5527.93	700.17	
4100	5568.75	570.006	
4200	5629.19	746.257	
4300	5802.85	776.841	
4400	5880.22	651.941	
4500	5684.37	928.698	
4600	5709.39	1009.51	
4700	5656.31	1113.74	
4800	6574.21	1170.89	
4900	7107.63	1106.17	
5000	6368.26	1417.98	
5100	6334.72	1416.82	
5200	6378.57	1549.44	
5300	6564.38	1271.55	
5400	6499.92	1342.66	
5500	7284.73	1585.88	
5600	6363.7	1859.53	
5700	6646.21	1886.94	
5800	6106.74	1555.85	
5900	6418.88	2212.86	
6000	6619.31	1665.23	
6100	6088.36	1668.27	
6200	6634.81	2269.12	
6300	6648.35	2122.73	
6400	6697.41	2799.18	
6500	6184.14	2313.55	
6600	6073.66	1628.99	
6700	6896.63	2842.79	
6800	6073.43	2160.65	
6900	6043.95	2329.24	
7000	5648.92	1765.82	
7100	6814.61	3106.61	
7200	7542.68	4313.13	
7300	7908.86	4324.18	
7400	6672.82	2749.97	
7500	8376.28	4147.03	
7600	7516.54	3517.2	
7700	7174.43	3564.3	
7800	7772.58	6888.85	
7900	6554.64	3121.28	
8000	6627.06	2598.17	
8100	7325.81	3583.6	
8200	7349.25	2787.26	
8300	7904.92	4606.06	
8400	9415.35	4542.53	
8500	8843.52	6092.5	
8600	7328.01	4529.09	
8700	6161.28	2145.52	
8800	7809.54	8570.16	
8900	6401.88	2924.5	
9000	7027.74	4197.06	
9100	7846.14	5708.1	
9200	8569.88	4996.64	
9300	7756.38	4960.73	
9400	7679.35	5381.58	
9500	7829.89	5620.78	
9600	7371.18	4450.15	
9700	7986.23	6815.27	
9800	7987.74	8623.84	
9900	6778.93	3491.28	
10000	8000.34	5404.68	
