1	6331.9	32826.1	20536.4	
2	6171.99	37163	20468.5	
3	6551.2	37775.9	21153.8	
4	6412.47	37678.8	20909.5	
5	6565.68	37772.5	21167.9	
6	6039.35	37364.2	20563.1	
7	8929.01	46329.4	25169.5	
8	6177.86	36976.4	20491.4	
9	6069.34	40185.6	21010.3	
10	7961.18	45126.8	25435.3	
11	9128.31	51427.9	29642.3	
12	7891.12	46547.5	29173.8	
13	5870.67	37256.3	20106.1	
14	7660.18	44905.6	26346	
15	6866.19	40142.5	22673.4	
16	5926.21	36545.4	20313.5	
17	7503.03	49754.1	28293.8	
18	6073.85	42078.1	22613.6	
19	6229.34	36658	20260.1	
20	6500.47	50389.9	22497.1	
21	6436.56	37134.7	20765	
22	6611.64	39111.2	22506.3	
23	6359.79	37891.8	21328.3	
24	6449.07	37210.1	20998.5	
25	6137.53	37005.1	20559.5	
26	6931.8	38817.1	23013.5	
27	8955.27	54749	31535.2	
