#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,94,180,34,34,
200,185,357,98,98,
300,142,435,55,55,
400,187,560,57,57,
500,299,711,100,100,
600,382,851,192,262,
700,348,991,141,149,
800,159,615,63,74,
900,285,522,79,165,
1000,216,550,75,88,
1100,303,559,141,369,
1200,327,615,142,185,
1300,152,617,81,93,
1400,200,671,109,118,
1500,178,682,70,70,
1600,282,726,137,584,
1700,392,739,250,385,
1800,381,736,191,301,
1900,517,817,135,514,
2000,397,827,128,176,
2100,400,822,175,430,
2200,459,858,217,300,
2300,336,817,142,213,
2400,586,929,290,624,
2500,389,871,78,126,
2600,410,858,237,824,
2700,353,899,155,189,
2800,556,979,218,534,
2900,422,940,220,253,
3000,408,917,193,351,
3100,700,984,178,206,
3200,407,981,153,196,
3300,447,969,135,174,
3400,537,1001,211,324,
3500,527,975,202,566,
3600,450,1033,256,334,
3700,791,1017,229,731,
3800,562,1029,154,195,
3900,342,1067,235,350,
4000,717,1069,314,514,
4100,893,1148,223,851,
4200,852,1179,258,423,
4300,660,1215,278,319,
4400,335,1044,131,177,
4500,626,1102,292,338,
4600,773,1110,394,748,
4700,961,1058,491,851,
4800,731,1101,285,649,
4900,1076,1076,299,326,
5000,707,1184,148,163,
5100,1138,1129,422,587,
5200,565,1064,209,254,
5300,358,1122,268,409,
5400,1239,1278,257,280,
5500,854,1212,501,1085,
5600,753,1189,455,483,
5700,865,1310,390,583,
5800,936,1319,359,679,
5900,231,540,127,900,
6000,778,564,115,958,
6100,390,577,175,300,
6200,546,595,184,936,
6300,601,578,176,203,
6400,177,580,87,174,
6500,437,569,218,324,
6600,702,595,221,1462,
6700,562,600,278,840,
6800,355,609,138,248,
6900,700,608,284,1402,
7000,700,629,175,323,
7100,281,670,121,245,
7200,471,675,114,909,
7300,613,681,195,508,
7400,594,675,139,951,
7500,658,687,353,1101,
7600,627,654,191,280,
7700,543,677,218,268,
7800,560,702,214,784,
7900,687,677,240,1497,
8000,623,683,160,169,
8100,750,707,158,535,
8200,594,715,302,492,
8300,569,706,309,919,
8400,464,721,202,483,
8500,934,726,232,366,
8600,473,757,168,243,
8700,538,743,189,417,
8800,898,733,226,321,
8900,795,758,377,3264,
9000,807,761,228,456,
9100,884,749,329,730,
9200,695,730,150,187,
9300,744,776,145,323,
9400,920,764,352,865,
9500,1013,759,292,444,
9600,749,786,400,1548,
9700,793,790,415,1133,
9800,583,796,81,648,
9900,949,786,375,1234,
10000,835,776,376,1619,
