#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,96,197,52,51,
200,191,392,99,104,
300,292,587,142,136,
400,342,783,139,131,
500,439,970,140,159,
600,526,1170,175,179,
700,614,1364,231,211,
800,707,1559,258,266,
900,790,1747,295,310,
1000,902,1925,305,325,
1100,982,2128,323,330,
1200,1128,2329,352,375,
1300,1200,2527,377,407,
1400,1298,2731,420,444,
1500,1397,2918,500,439,
1600,181,2433,65,140,
1700,197,2546,70,122,
1800,206,2654,81,119,
1900,1037,3452,335,309,
2000,1105,3633,285,355,
2100,1178,3825,310,322,
2200,1261,3996,373,347,
2300,1243,4204,342,326,
2400,1244,4421,376,331,
2500,1325,4629,375,394,
2600,1348,4806,438,383,
2700,1403,4968,443,382,
2800,1397,5129,337,382,
2900,1515,5318,410,442,
3000,1613,5489,389,400,
3100,1622,5633,436,440,
3200,1654,5799,413,438,
3300,1728,5986,461,435,
3400,1816,6131,377,392,
3500,1685,6333,504,404,
3600,1985,6443,526,542,
3700,1840,6659,472,523,
3800,1971,6825,458,483,
3900,2049,6993,536,512,
4000,2071,7191,597,585,
4100,2124,7331,488,585,
4200,2116,7504,606,599,
4300,2442,7693,523,610,
4400,2362,7905,538,493,
4500,2466,8092,598,611,
4600,2550,8282,678,588,
4700,2530,8437,631,648,
4800,2339,8682,605,617,
4900,2481,8873,662,658,
5000,2479,9052,663,706,
5100,2646,9222,623,877,
5200,2618,9390,772,696,
5300,2975,9562,767,646,
5400,2764,9728,760,901,
5500,2710,9935,722,757,
5600,2734,10127,725,683,
5700,3027,10333,740,661,
5800,2976,10513,883,807,
5900,2898,10668,718,876,
6000,2920,10852,814,726,
6100,3216,11001,797,818,
6200,3101,11233,839,898,
6300,3279,11402,898,801,
6400,3335,11566,807,786,
6500,3235,11765,807,881,
6600,3424,11909,872,915,
6700,3234,12032,842,784,
6800,3554,12262,942,1003,
6900,3504,12430,748,797,
7000,3475,12634,968,943,
7100,4007,12818,826,821,
7200,3677,12974,1023,869,
7300,2284,11956,627,582,
7400,2241,12145,605,580,
7500,2329,12291,462,552,
7600,2360,12424,498,669,
7700,2502,12512,483,678,
7800,2321,12590,629,628,
7900,2445,12827,613,689,
8000,2599,13035,587,790,
8100,2440,13085,523,705,
8200,2786,13215,428,682,
8300,2707,13370,616,712,
8400,2601,13498,522,757,
8500,2572,13729,495,778,
8600,2765,13856,662,787,
8700,2869,14052,657,564,
8800,2596,14170,751,680,
8900,2584,14331,711,620,
9000,2702,14483,572,727,
9100,2534,14647,757,875,
9200,2749,14741,589,577,
9300,2649,15015,546,801,
9400,3004,15109,692,851,
9500,2550,15378,696,686,
9600,2690,15453,728,721,
9700,2734,15694,668,805,
9800,3085,15845,692,804,
9900,2597,15940,688,730,
10000,2762,16117,723,671,
