#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,100,199,99,99,
200,200,399,175,175,
300,300,599,293,293,
400,399,799,341,341,
500,500,999,390,390,
600,600,1199,467,467,
700,698,1399,553,553,
800,798,1599,620,620,
900,900,1799,693,693,
1000,1000,1999,738,738,
1100,1100,2199,745,745,
1200,1200,2399,801,801,
1300,1300,2599,1006,1006,
1400,1399,2799,1099,1099,
1500,1499,2999,1029,1029,
1600,1600,3199,1100,1100,
1700,1700,3399,1108,1108,
1800,1800,3599,1188,1188,
1900,1900,3799,1266,1266,
2000,2000,3999,1688,1688,
2100,2100,4199,1164,1164,
2200,2199,4399,1606,1606,
2300,2299,4599,1540,1540,
2400,2400,4799,1877,1877,
2500,2500,4999,1619,1619,
2600,2599,5199,1684,1684,
2700,2699,5399,1970,1970,
2800,2800,5599,1921,1921,
2900,2896,5799,1653,1653,
3000,2996,5999,1513,1513,
3100,3099,6199,1797,1797,
3200,3200,6399,1854,1854,
3300,3299,6599,1911,1911,
3400,3398,6799,2011,2011,
3500,3495,6999,2168,2168,
3600,3600,7199,2289,2289,
3700,3699,7399,2341,2341,
3800,3800,7599,2287,2287,
3900,3897,7799,2320,2320,
4000,4000,7999,2957,2957,
4100,4099,8199,2765,2765,
4200,4196,8399,2334,2334,
4300,4298,8599,2756,2756,
4400,4398,8799,2723,2723,
4500,4498,8999,2511,2511,
4600,4598,9199,2500,2500,
4700,4698,9399,2625,2625,
4800,4797,9599,2954,2954,
4900,4898,9799,3277,3277,
5000,4998,9999,2916,2916,
5100,5099,10199,2134,2134,
5200,5200,10399,3309,3309,
5300,5299,10599,2880,2880,
5400,5398,10799,3172,3172,
5500,5496,10999,3334,3334,
5600,5598,11199,3022,3022,
5700,5697,11399,3244,3244,
5800,5800,11599,2865,2865,
5900,5897,11799,3422,3422,
6000,5999,11999,3321,3321,
6100,6099,12199,3705,3705,
6200,6198,12399,3853,3853,
6300,6298,12599,4500,4500,
6400,6399,12799,3710,3710,
6500,6497,12999,4148,4148,
6600,6597,13199,3492,3492,
6700,6696,13399,4418,4418,
6800,6797,13599,3829,3829,
6900,6900,13799,4230,4230,
7000,6998,13999,3731,3731,
7100,7099,14199,4166,4166,
7200,7199,14399,4862,4862,
7300,7297,14599,5233,5233,
7400,7397,14799,4719,4719,
7500,7500,14999,4789,4789,
7600,7596,15199,3967,3967,
7700,7696,15399,4343,4343,
7800,7799,15599,3961,3961,
7900,7899,15799,4072,4072,
8000,7994,15999,4234,4234,
8100,8097,16199,3882,3882,
8200,8197,16399,4023,4023,
8300,8298,16599,4882,4882,
8400,8397,16799,4114,4114,
8500,8497,16999,5229,5229,
8600,8595,17199,4428,4428,
8700,8696,17399,5052,5052,
8800,8800,17599,4942,4942,
8900,8896,17799,4512,4512,
9000,8997,17999,3932,3932,
9100,9097,18199,5891,5891,
9200,9197,18399,5246,5246,
9300,9300,18599,5158,5158,
9400,9394,18799,5817,5817,
9500,9492,18999,5977,5977,
9600,9598,19199,5893,5893,
9700,9697,19399,5530,5530,
9800,9799,19599,6082,6082,
9900,9899,19799,5611,5611,
10000,10000,19999,5336,5336,
