# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTree
100,52,83,28,35,
200,61,118,48,58,
300,143,179,75,74,
400,51,93,34,81,
500,60,101,27,41,
600,71,110,42,84,
700,102,122,54,65,
800,129,112,56,94,
900,55,123,35,156,
1000,141,151,58,69,
1100,131,167,69,337,
1200,128,155,65,93,
1300,141,171,69,49,
1400,121,170,62,257,
1500,144,183,65,161,
1600,149,197,79,559,
1700,159,206,87,280,
1800,193,213,97,298,
1900,140,221,68,61,
2000,181,226,103,595,
2100,134,237,75,74,
2200,168,232,75,183,
2300,139,267,87,405,
2400,269,267,137,239,
2500,178,285,98,119,
2600,109,143,46,125,
2700,60,137,35,51,
2800,161,147,75,710,
2900,103,156,43,537,
3000,100,152,57,199,
3100,137,165,63,108,
3200,113,163,61,109,
3300,205,156,99,486,
3400,205,172,80,417,
3500,165,183,76,223,
3600,204,189,87,304,
3700,137,190,76,993,
3800,92,181,59,171,
3900,139,178,87,590,
4000,180,177,87,238,
4100,213,176,94,440,
4200,253,186,107,633,
4300,143,193,86,576,
4400,170,188,79,547,
4500,211,178,83,121,
4600,133,180,62,1218,
4700,106,209,58,547,
4800,146,199,70,562,
4900,241,209,99,1241,
5000,249,206,111,624,
5100,215,214,107,699,
5200,223,215,97,292,
5300,174,213,86,752,
5400,144,228,83,334,
5500,233,217,119,361,
5600,255,207,96,277,
5700,215,215,97,268,
5800,199,215,103,1114,
5900,171,216,83,744,
6000,305,227,135,558,
6100,271,217,118,96,
6200,193,239,91,612,
6300,211,230,105,166,
6400,230,225,103,667,
6500,354,230,157,534,
6600,181,139,66,1223,
6700,158,135,56,124,
6800,118,142,65,383,
6900,100,141,49,457,
7000,149,144,57,241,
7100,159,141,50,174,
7200,142,137,62,1354,
7300,141,137,50,1421,
7400,142,137,56,483,
7500,144,137,64,413,
7600,139,143,63,583,
7700,131,140,52,251,
7800,122,139,56,1454,
7900,123,138,59,1543,
8000,97,145,51,1387,
8100,78,142,37,138,
8200,95,147,49,408,
8300,107,147,51,466,
8400,106,143,58,416,
8500,58,139,40,1156,
8600,115,143,50,460,
8700,93,133,35,441,
8800,149,155,67,141,
8900,127,157,37,291,
9000,120,149,52,561,
9100,108,146,52,780,
9200,112,142,68,769,
9300,147,143,53,127,
9400,163,151,62,390,
9500,129,143,55,79,
9600,185,151,70,1816,
9700,164,147,68,505,
9800,125,146,57,382,
9900,191,149,70,807,
10000,227,140,83,1486,
