#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,100,199,88,88,
200,200,399,164,164,
300,300,599,179,179,
400,399,799,307,307,
500,497,999,368,368,
600,599,1199,366,366,
700,568,1395,93,93,
800,661,1596,139,139,
900,896,1799,227,227,
1000,996,1999,267,267,
1100,1088,2199,342,342,
1200,1195,2398,332,332,
1300,1292,2598,561,561,
1400,1393,2798,580,580,
1500,1483,2998,590,590,
1600,1595,3198,792,792,
1700,1684,3398,486,486,
1800,1781,3598,541,541,
1900,1882,3798,466,466,
2000,1992,3998,832,832,
2100,2091,4198,844,844,
2200,2191,4398,965,965,
2300,2290,4599,689,689,
2400,2391,4799,840,840,
2500,2487,4999,592,592,
2600,2589,5198,917,917,
2700,2685,5399,995,995,
2800,2785,5598,840,840,
2900,2888,5798,839,839,
3000,2981,5998,840,840,
3100,3086,6198,1104,1104,
3200,3188,6398,779,779,
3300,3295,6598,922,922,
3400,3381,6798,1249,1249,
3500,3490,6998,1091,1091,
3600,3586,7198,1084,1084,
3700,3680,7398,895,895,
3800,3774,7598,1071,1071,
3900,3876,7798,1274,1274,
4000,3983,7998,1238,1238,
4100,4082,8198,1608,1608,
4200,4185,8398,1577,1577,
4300,4281,8596,1767,1767,
4400,4383,8796,1658,1658,
4500,4479,8995,1437,1437,
4600,4572,9195,1970,1970,
4700,4682,9396,1638,1638,
4800,4787,9595,2175,2175,
4900,4889,9797,1645,1645,
5000,4979,9998,2018,2018,
5100,5077,10198,1800,1800,
5200,5182,10396,1441,1441,
5300,5284,10596,1648,1648,
5400,5381,10796,2506,2506,
5500,5479,10996,2401,2401,
5600,5588,11197,1943,1943,
5700,5688,11394,1986,1986,
5800,5772,11596,1824,1824,
5900,5881,11797,1869,1869,
6000,5970,11995,2436,2436,
6100,6063,12195,2650,2650,
6200,6172,12396,1934,1934,
6300,6276,12596,2847,2847,
6400,6371,12795,2354,2354,
6500,6476,12994,2417,2417,
6600,6579,13194,2227,2227,
6700,6678,13392,2516,2516,
6800,6771,13591,3028,3028,
6900,5864,13750,329,329,
7000,5923,13952,1182,1182,
7100,5960,14147,660,660,
7200,6233,14347,984,984,
7300,6134,14548,433,433,
7400,6762,14740,784,784,
7500,6921,14942,544,544,
7600,6384,15141,693,693,
7700,7024,15337,551,551,
7800,6575,15536,369,369,
7900,6661,15739,555,555,
8000,5813,15937,1254,1254,
8100,7081,16141,673,673,
8200,7500,16340,997,997,
8300,7094,16540,1219,1219,
8400,6960,16741,812,812,
8500,7173,16938,875,875,
8600,5212,17137,756,756,
8700,8071,17333,796,796,
8800,8169,17535,1008,1008,
8900,6528,17735,755,755,
9000,8013,17937,1491,1491,
9100,8238,18136,681,681,
9200,8351,18337,937,937,
9300,8664,18535,624,624,
9400,8015,18735,615,615,
9500,8655,18932,727,727,
9600,8568,19132,1108,1108,
9700,8860,19332,1394,1394,
9800,7758,19533,1052,1052,
9900,8556,19733,1044,1044,
10000,8547,19937,1204,1204,
