#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,96,198,58,60,
200,193,395,97,106,
300,277,585,124,122,
400,252,738,81,98,
500,276,913,95,107,
600,324,1096,111,115,
700,409,1292,121,139,
800,445,1464,152,138,
900,570,1624,168,175,
1000,564,1788,177,178,
1100,636,1981,172,189,
1200,683,2164,225,216,
1300,763,2347,194,244,
1400,797,2510,252,219,
1500,775,2671,271,222,
1600,989,2856,277,259,
1700,987,3024,284,277,
1800,664,2949,213,190,
1900,731,3091,210,232,
2000,660,3251,223,219,
2100,790,3364,234,183,
2200,720,3524,252,183,
2300,860,3665,198,243,
2400,895,3862,272,283,
2500,972,3985,219,276,
2600,866,4214,235,273,
2700,1012,4340,260,279,
2800,1043,4506,262,273,
2900,1034,4658,301,297,
3000,1019,4797,332,249,
3100,1108,5012,277,393,
3200,1100,5172,288,329,
3300,1219,5303,344,401,
3400,1409,5503,353,362,
3500,1160,5627,365,361,
3600,1306,5771,382,417,
3700,1556,5942,399,371,
3800,1271,6025,387,475,
3900,1436,6216,422,471,
4000,1452,6307,394,499,
4100,1601,6422,456,404,
4200,1535,6739,478,431,
4300,1574,7013,425,474,
4400,1582,7136,476,483,
4500,1628,7336,517,523,
4600,1218,6557,280,410,
4700,1194,6643,286,368,
4800,1348,6874,322,428,
4900,1338,6947,355,397,
5000,1264,7147,414,456,
5100,1384,7299,345,346,
5200,1339,7398,343,446,
5300,1484,7605,373,493,
5400,1365,7745,385,473,
5500,1522,7922,437,477,
5600,1537,8059,494,464,
5700,1329,8146,380,471,
5800,1187,8228,354,384,
5900,1352,8385,437,432,
6000,1314,8532,362,462,
6100,1760,8560,456,303,
6200,1812,8758,424,553,
6300,1705,8864,401,447,
6400,1416,9086,421,517,
6500,1577,9206,407,483,
6600,1489,9403,510,502,
6700,1693,9504,470,558,
6800,1742,9549,377,597,
6900,1759,9696,396,536,
7000,1823,9832,509,552,
7100,1917,9957,497,554,
7200,1667,10108,498,656,
7300,1773,10278,504,677,
7400,1960,10404,577,511,
7500,1728,10547,503,559,
7600,1710,10755,449,683,
7700,1868,10926,578,592,
7800,2193,10999,469,841,
7900,1818,11111,514,707,
8000,1685,11230,570,604,
8100,2166,11402,612,576,
8200,1920,11540,544,686,
8300,1944,11628,565,575,
8400,2157,11772,446,502,
8500,2184,12033,530,664,
8600,2190,12131,557,559,
8700,2373,12411,704,600,
8800,2253,12464,531,843,
8900,1949,12668,516,864,
9000,2341,12783,587,666,
9100,2085,12803,576,649,
9200,2123,12961,616,591,
9300,2430,13104,603,685,
9400,2212,13324,576,811,
9500,2269,13468,650,855,
9600,2631,13580,526,632,
9700,2395,13702,592,788,
9800,2025,13843,593,753,
9900,2274,13969,669,779,
10000,2505,14167,617,644,
