# Points,Metric Tree,Kd-Tree,Bounded-Tree,FassTree
100,99,100,98,62,
200,199,200,188,91,
300,299,300,273,135,
400,399,400,352,203,
500,492,498,405,152,
600,595,599,486,177,
700,686,698,554,170,
800,785,799,652,330,
900,890,898,766,191,
1000,988,998,840,332,
1100,1091,1098,926,275,
1200,1192,1200,973,197,
1300,1287,1299,1075,267,
1400,1385,1398,1149,426,
1500,1490,1498,1256,462,
1600,1591,1598,1328,342,
1700,1679,1698,1404,341,
1800,1784,1798,1435,412,
1900,1882,1898,1497,423,
2000,1983,1995,1595,405,
2100,2092,2096,1698,555,
2200,2189,2194,1834,714,
2300,2278,2296,1891,689,
2400,2383,2397,1963,521,
2500,2485,2495,2067,616,
2600,2583,2595,2118,510,
2700,2490,2681,1613,398,
2800,2673,2788,1688,479,
2900,2733,2885,1704,307,
3000,2839,2987,1693,206,
3100,3007,3085,1939,514,
3200,3048,3182,1934,437,
3300,3213,3278,2053,335,
3400,3225,3378,2017,524,
3500,3432,3478,2043,434,
3600,3530,3584,2514,518,
3700,3640,3683,2573,436,
3800,3740,3784,2473,333,
3900,3845,3883,2730,461,
4000,3920,3982,2725,356,
4100,4015,4080,2822,434,
4200,4074,4180,2929,413,
4300,4236,4279,2928,434,
4400,4268,4372,2940,734,
4500,4425,4473,3062,446,
4600,4545,4574,3177,750,
4700,4635,4675,3172,837,
4800,4691,4776,3400,663,
4900,4810,4877,3308,631,
5000,4954,4976,3487,940,
5100,5018,5076,3535,468,
5200,5113,5176,3494,752,
5300,5209,5276,3602,543,
5400,5335,5377,3673,651,
5500,5444,5474,3762,615,
5600,5520,5574,3874,719,
5700,5617,5672,3737,650,
5800,5734,5769,4014,722,
5900,5813,5870,4068,513,
6000,5932,5969,4157,500,
6100,6004,6069,4146,527,
6200,6126,6170,4218,513,
6300,6209,6270,4402,912,
6400,6333,6371,4473,766,
6500,6406,6466,4454,672,
6600,6510,6565,4209,892,
6700,6609,6665,4500,635,
6800,6717,6763,4488,896,
6900,6722,6862,4586,741,
7000,6914,6963,4621,813,
7100,6980,7062,4958,783,
7200,7106,7157,5036,430,
7300,7210,7258,4823,593,
7400,7318,7355,5109,816,
7500,7429,7455,5097,840,
7600,7444,7553,5185,456,
7700,7574,7651,5276,1432,
7800,7700,7751,5378,613,
7900,7775,7850,5554,645,
8000,7897,7951,5617,1364,
8100,7967,8048,5103,839,
8200,8073,8145,5610,918,
8300,8184,8247,5665,1101,
8400,8258,8347,5859,806,
8500,8385,8447,5796,1071,
8600,8464,8550,5943,824,
8700,8540,8650,5719,960,
8800,8719,8750,6110,1679,
8900,8794,8851,6205,1512,
9000,8863,8948,6400,843,
9100,8904,9047,6068,756,
9200,9116,9152,6191,1001,
9300,9209,9253,6427,1000,
9400,9242,9354,6517,992,
9500,9363,9456,6168,540,
9600,9510,9556,6848,1069,
9700,9551,9659,6754,1140,
9800,9641,9760,6940,543,
9900,9744,9864,6793,2243,
10000,9757,9966,6683,903,
