#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,98,96,61,51,
200,178,180,74,53,
300,224,260,82,53,
400,266,349,119,58,
500,353,419,131,82,
600,425,513,151,97,
700,533,585,170,103,
800,565,667,203,126,
900,605,758,207,133,
1000,681,826,255,129,
1100,467,804,160,110,
1200,537,906,187,134,
1300,577,988,201,126,
1400,604,1033,201,129,
1500,706,1107,237,155,
1600,744,1166,226,153,
1700,570,1105,184,109,
1800,550,1161,197,102,
1900,714,1219,235,110,
2000,634,1258,215,137,
2100,786,1311,241,138,
2200,799,1341,218,160,
2300,765,1446,209,148,
2400,739,1478,295,148,
2500,833,1580,283,118,
2600,871,1585,243,218,
2700,813,1670,284,170,
2800,959,1721,273,154,
2900,932,1773,369,177,
3000,997,1835,343,171,
3100,956,1871,265,220,
3200,1086,1907,378,168,
3300,966,2002,364,180,
3400,1053,2030,402,213,
3500,1189,2102,287,177,
3600,1036,2199,371,196,
3700,1243,2254,294,230,
3800,1213,2295,407,184,
3900,1231,2342,442,219,
4000,1213,2330,369,217,
4100,1207,2408,415,274,
4200,1316,2491,387,295,
4300,1380,2572,417,252,
4400,1546,2650,450,191,
4500,1371,2757,432,291,
4600,1365,2832,464,278,
4700,1664,2868,481,296,
4800,1658,2915,500,316,
4900,1559,2985,437,290,
5000,1417,3032,458,221,
5100,1698,3119,470,348,
5200,1546,3186,484,308,
5300,1560,3209,515,323,
5400,1918,3311,500,305,
5500,1897,3363,578,283,
5600,1732,3412,526,272,
5700,1683,3492,534,382,
5800,1776,3495,622,352,
5900,1800,3528,586,305,
6000,1941,3577,541,300,
6100,1872,3674,645,406,
6200,2008,3816,670,315,
6300,2058,3804,594,418,
6400,2042,3857,636,323,
6500,2176,3963,553,413,
6600,2060,4006,541,358,
6700,2039,4039,717,398,
6800,2154,4055,708,375,
6900,2218,4159,644,378,
7000,2560,4165,701,348,
7100,1320,2665,393,254,
7200,1296,2675,324,209,
7300,1355,2705,481,246,
7400,1509,2703,405,293,
7500,1465,2738,464,317,
7600,1374,2766,418,387,
7700,1434,2840,423,293,
7800,1699,2843,490,233,
7900,1490,2905,354,277,
8000,1554,2917,467,379,
8100,1481,2965,494,232,
8200,1494,3008,527,272,
8300,1648,3049,591,358,
8400,1616,3091,445,387,
8500,1745,3261,505,272,
8600,1084,1827,369,255,
8700,1248,1807,340,250,
8800,1298,1823,342,332,
8900,1229,1843,390,234,
9000,1255,1882,363,349,
9100,1061,1894,352,399,
9200,1248,1941,307,253,
9300,1233,1919,320,213,
9400,1407,1953,339,274,
9500,1185,1923,367,288,
9600,1157,1945,406,278,
9700,1196,1944,370,241,
9800,1177,1980,415,348,
9900,1329,1986,379,354,
10000,1305,1976,434,265,
