#Points,Metric Tree,KD Tree,FaSST,FaSST w/ Gating,
100,83,84,49,33,
200,110,113,61,49,
300,198,182,93,62,
400,131,90,61,47,
500,146,110,76,45,
600,170,115,82,61,
700,192,116,88,78,
800,233,132,89,88,
900,248,159,114,94,
1000,271,156,114,113,
1100,269,188,139,96,
1200,165,93,72,76,
1300,164,94,86,87,
1400,197,98,72,85,
1500,197,107,95,94,
1600,237,111,79,89,
1700,227,102,105,121,
1800,229,106,104,129,
1900,243,118,108,111,
2000,240,119,108,103,
2100,252,117,93,171,
2200,251,117,108,213,
2300,246,111,110,192,
2400,264,116,123,127,
2500,335,126,115,139,
2600,186,69,66,134,
2700,220,78,77,135,
2800,206,75,75,115,
2900,184,78,56,105,
3000,175,77,57,131,
3100,180,75,60,114,
3200,177,71,65,144,
3300,182,78,58,94,
3400,189,73,61,180,
3500,184,78,69,131,
3600,191,82,69,177,
3700,195,83,74,132,
3800,189,77,66,191,
3900,189,87,79,130,
4000,202,93,71,151,
4100,214,93,68,115,
4200,206,97,72,189,
4300,227,96,83,136,
4400,196,101,66,193,
4500,217,101,75,126,
4600,248,92,68,196,
4700,222,97,84,221,
4800,202,101,81,176,
4900,230,100,75,252,
5000,251,98,78,138,
5100,240,94,84,205,
5200,220,102,70,208,
5300,232,100,81,165,
5400,240,95,75,274,
5500,262,103,76,272,
5600,253,102,79,246,
5700,246,115,86,232,
5800,247,120,89,236,
5900,288,119,79,320,
6000,247,115,70,336,
6100,284,102,81,297,
6200,287,107,80,161,
6300,265,107,70,252,
6400,237,108,81,265,
6500,283,110,76,266,
6600,264,116,83,304,
6700,281,109,83,213,
6800,297,109,88,237,
6900,278,105,87,240,
7000,283,109,79,335,
7100,267,121,82,286,
7200,305,110,92,387,
7300,282,115,100,267,
7400,309,120,96,267,
7500,274,119,92,412,
7600,291,125,88,272,
7700,331,134,98,247,
7800,285,129,95,328,
7900,303,127,87,269,
8000,301,119,97,312,
8100,320,138,95,255,
8200,296,132,99,517,
8300,361,142,110,283,
8400,336,121,88,347,
8500,342,131,91,364,
8600,360,131,98,535,
8700,329,140,103,410,
8800,350,136,106,299,
8900,364,145,91,384,
9000,350,141,102,450,
9100,329,138,116,315,
9200,349,149,105,256,
9300,325,154,83,272,
9400,366,156,94,352,
9500,372,162,97,317,
9600,389,163,110,416,
9700,366,160,97,395,
9800,360,170,121,374,
9900,351,173,114,300,
10000,365,160,116,246,
