#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,100,100,98,97,
200,200,200,152,138,
300,300,300,218,185,
400,398,400,192,157,
500,500,500,275,212,
600,598,600,406,329,
700,699,700,515,425,
800,799,800,517,407,
900,899,900,560,441,
1000,1000,1000,516,417,
1100,1099,1100,586,475,
1200,1198,1200,757,599,
1300,1300,1300,516,392,
1400,1400,1400,505,376,
1500,1500,1500,671,482,
1600,1598,1600,756,532,
1700,1699,1700,1321,1165,
1800,1797,1800,813,632,
1900,1896,1900,1109,868,
2000,1998,2000,892,676,
2100,2098,2100,1473,1262,
2200,2195,2200,1080,832,
2300,2298,2300,1005,742,
2400,2397,2400,1400,1135,
2500,2496,2500,1339,1006,
2600,2599,2600,1185,857,
2700,2698,2700,1928,1602,
2800,2797,2800,1730,1343,
2900,2899,2900,1588,1211,
3000,2998,3000,1985,1654,
3100,514,3082,169,68,
3200,584,3181,133,60,
3300,1111,3282,212,67,
3400,651,3377,180,89,
3500,767,3472,80,31,
3600,808,3572,108,50,
3700,648,3672,161,121,
3800,932,3770,104,41,
3900,817,3869,170,74,
4000,1242,3966,297,126,
4100,902,4064,143,61,
4200,1606,4164,194,55,
4300,1341,4264,180,79,
4400,1445,4364,154,54,
4500,1503,4464,299,128,
4600,1062,4570,94,33,
4700,1028,4667,137,39,
4800,1774,4766,241,78,
4900,1423,4865,203,66,
5000,1804,4964,164,62,
5100,1356,5061,269,61,
5200,1808,5162,239,74,
5300,1425,5266,108,36,
5400,1354,5365,107,38,
5500,1100,5468,141,51,
5600,1818,5565,208,95,
5700,1753,5666,414,241,
5800,1840,5758,421,130,
5900,1206,5859,378,241,
6000,1891,5961,227,71,
6100,1222,6063,320,185,
6200,1292,6161,337,138,
6300,1786,6262,312,89,
6400,2065,6359,170,39,
6500,1854,6458,307,98,
6600,1942,6555,168,65,
6700,2567,6655,339,112,
6800,2638,6754,271,103,
6900,1928,6851,258,94,
7000,2069,6949,283,116,
7100,1622,7049,325,166,
7200,2322,7148,222,74,
7300,1616,7247,353,137,
7400,2177,7345,359,172,
7500,2457,7444,234,67,
7600,2606,7542,278,203,
7700,2145,7638,547,236,
7800,1773,7736,246,71,
7900,2276,7835,257,87,
8000,2231,7934,171,52,
8100,2794,8035,224,72,
8200,3005,8134,240,73,
8300,2816,8237,349,131,
8400,1478,8338,315,154,
8500,3201,8434,309,146,
8600,1998,8534,248,103,
8700,3198,8631,258,97,
8800,2776,8732,225,69,
8900,3296,8833,305,96,
9000,2642,8930,281,62,
9100,1565,9030,383,146,
9200,2467,9130,332,103,
9300,1886,9232,298,121,
9400,2133,9331,275,81,
9500,1905,9437,625,302,
9600,2476,9525,214,54,
9700,2589,9635,239,81,
9800,2564,9731,335,114,
9900,2915,9830,217,52,
10000,2503,9933,180,44,
