#Points,Metric Tree,KD Tree,FassT,FassT w/ Gating,
100,100,100,99,98,
200,200,200,175,168,
300,300,300,293,292,
400,399,400,341,310,
500,500,500,390,334,
600,600,600,467,413,
700,698,700,553,481,
800,798,800,620,539,
900,900,900,693,626,
1000,1000,1000,738,618,
1100,1100,1100,745,616,
1200,1200,1200,801,696,
1300,1300,1300,1006,894,
1400,1399,1400,1099,991,
1500,1499,1500,1029,875,
1600,1600,1600,1100,926,
1700,1700,1700,1108,917,
1800,1800,1800,1188,994,
1900,1900,1900,1266,1020,
2000,2000,2000,1688,1521,
2100,2100,2100,1164,983,
2200,2199,2200,1606,1350,
2300,2299,2300,1540,1312,
2400,2400,2400,1877,1644,
2500,2500,2500,1619,1283,
2600,2599,2600,1684,1398,
2700,2699,2700,1970,1699,
2800,2800,2800,1921,1582,
2900,2896,2900,1653,1274,
3000,2996,3000,1513,1118,
3100,3099,3100,1797,1496,
3200,3200,3200,1854,1512,
3300,3299,3300,1911,1524,
3400,3398,3400,2011,1596,
3500,3495,3500,2168,1768,
3600,3600,3600,2289,1863,
3700,3699,3700,2341,1872,
3800,3800,3800,2287,1803,
3900,3897,3900,2320,1883,
4000,4000,4000,2957,2490,
4100,4099,4100,2765,2232,
4200,4196,4200,2334,1841,
4300,4298,4300,2756,2205,
4400,4398,4400,2723,2190,
4500,4498,4500,2511,1980,
4600,4598,4600,2500,2022,
4700,4698,4700,2625,2102,
4800,4797,4800,2954,2400,
4900,4898,4900,3277,2596,
5000,4998,5000,2916,2255,
5100,5099,5100,2134,1653,
5200,5200,5200,3309,2713,
5300,5299,5300,2880,2231,
5400,5398,5400,3172,2535,
5500,5496,5500,3334,2694,
5600,5598,5600,3022,2316,
5700,5697,5700,3244,2594,
5800,5800,5800,2865,2275,
5900,5897,5900,3422,2613,
6000,5999,6000,3321,2581,
6100,6099,6100,3705,2963,
6200,6198,6200,3853,3147,
6300,6298,6300,4500,3723,
6400,6399,6400,3710,2940,
6500,6497,6500,4148,3244,
6600,6597,6600,3492,2577,
6700,6696,6700,4418,3618,
6800,6797,6800,3829,3000,
6900,6900,6900,4230,3361,
7000,6998,7000,3731,2849,
7100,7099,7100,4166,3338,
7200,7199,7200,4862,3955,
7300,7297,7300,5233,4331,
7400,7397,7400,4719,3782,
7500,7500,7500,4789,3844,
7600,7596,7600,3967,3017,
7700,7696,7700,4343,3515,
7800,7799,7800,3961,3094,
7900,7899,7900,4072,3182,
8000,7994,8000,4234,3322,
8100,8097,8100,3882,2875,
8200,8197,8200,4023,3031,
8300,8298,8300,4882,3835,
8400,8397,8400,4114,3146,
8500,8497,8500,5229,4304,
8600,8595,8600,4428,3393,
8700,8696,8700,5052,4143,
8800,8800,8800,4942,3976,
8900,8896,8900,4512,3402,
9000,8997,9000,3932,3164,
9100,9097,9100,5891,4660,
9200,9197,9200,5246,4065,
9300,9300,9300,5158,4296,
9400,9394,9400,5817,4630,
9500,9492,9500,5977,4923,
9600,9598,9600,5893,4623,
9700,9697,9700,5530,4393,
9800,9799,9800,6082,4933,
9900,9899,9900,5611,4276,
10000,10000,10000,5336,4089,
